_id,EJERCICIO,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2024,0,01,011,0111,Amortiz. y gastos Deuda,Amortización y Gastos Financieros de la Deuda
2,2024,1,11,111,1111,Alta Dirección (Cortes),Alta Dirección de la C.A. (Cortes de Aragón)
3,2024,1,11,112,1121,Alta Dirección (P Gob.Ar),Alta Dirección de la C.A. (Presidencia Gob Aragón)
4,2024,1,12,121,1211,Servicios Generales,Servicios Generales
5,2024,1,12,122,1221,Función Pública,Función Pública
6,2024,1,12,123,1231,Formac y perfecc personal,Formación y Perfeccionamiento del personal (IAAP)
7,2024,1,12,125,1251,Gastos relat. Admón.Local,Gastos relativos a la Administración Local
8,2024,1,12,126,1261,Otros Servicios Generales,Otros Servicios Generales
9,2024,1,13,131,1311,Rel. Exteriores,Relaciones Exteriores
10,2024,1,13,134,1341,Cooperación Internacional,Cooperación Internacional
11,2024,1,14,142,1421,Administración Justicia,Administración de Justicia
12,2024,3,31,311,3111,Admón y Promoción Social,Admón y Promoción Social
13,2024,3,31,313,3131,Acción Social,Acción Social
14,2024,3,31,315,3151,Relaciones Laborales,Relaciones Laborales
15,2024,3,32,322,3221,Promoción del Empleo,Promoción del Empleo
16,2024,3,32,323,3231,Promoción Sociocultural,Promoción Sociocultural
17,2024,3,32,324,3241,Acción favor Inmigrantes,Acción en favor de los Inmigrantes
18,2024,4,41,411,4111,Admón General Sanidad,Administración General de Sanidad
19,2024,4,41,412,4121,"Hosp,Svcios, Asist y Cent","Hospitales, Svcios, Asistencias y Centros de Salud"
20,2024,4,41,413,4131,Acciones Públicas Salud,Acciones Públicas relativas a la Salud
21,2024,4,42,421,4211,Admón General Educación,Administración General de Educación
22,2024,4,42,422,4221,Enseñanza,Enseñanza
23,2024,4,42,423,4231,Becas y Ayudas,Becas y Ayudas
24,2024,4,43,431,4311,Vivienda,Vivienda
25,2024,4,43,432,4321,Urbanismo y Arquitectura,Urbanismo y Arquitectura
26,2024,4,44,442,4421,Protecc y Medio Ambiente,Protección y Medio Ambiente
27,2024,4,44,443,4431,Otros Srvcios Bstar Com.,Otros servicios de Bienestar Comunitario
