_id,EJERCICIO,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2023,0,,,,Deuda Pública,Deuda Pública
2,2023,1,,,,Deuda Pública,Deuda Pública
3,2023,1,,,,Servcios Carácter General,Servicios de Carácter General
4,2023,3,,,,Seg Protecc y Prom Social,"Seguridad, Protección y Promoción Social"
5,2023,4,,,,Prod.Bienes Púb. c.social,Producción de Bienes Públicos de Carácter Social
6,2023,5,,,,Prod.Bien P carac.econom.,Producc. de Bienes Públicos de Carácter Económico
7,2023,6,,,,Reg Econom Caráct General,Regulación Económica de Carácter General
8,2023,7,,,,Reg Econ Sect Productivos,Regulación Económica de Sectores Productivos
9,2023,9,,,,Transfer a otras AA.PP.,Transferencias a otras Administraciones Públicas
10,2023,1,11,,,Deuda Pública,Deuda Pública
11,2023,1,11,,,Alta Dirección C.A. y Gob,Alta Dirección de la C.A. y del Gobierno
12,2023,1,12,,,Administración General,Administración General
13,2023,1,13,,,Rel. Ext. y Coop. Intern.,Relaciones Exteriores y Cooperación Internacional
14,2023,1,14,,,Justicia,Justicia
15,2023,3,31,,,Seg. y Protección Social,Seguridad y Protección Social
16,2023,3,32,,,Promoción Social,Promoción Social
17,2023,4,41,,,Sanidad,Sanidad
18,2023,4,42,,,Educación,Educación
19,2023,4,43,,,Vivienda y Urbanismo,Vivienda y Urbanismo
20,2023,4,44,,,Bienestar Comunitario,Bienestar Comunitario
21,2023,4,45,,,Cultura,Cultura
22,2023,4,46,,,Otros Srvcios Com. y Soc.,Otros Servicios Comunitarios y Sociales
23,2023,5,51,,,Infraestructuras Básicas,Infraestructuras Básicas y del Transporte
24,2023,5,53,,,Infraestructuras Agrarias,Infraestructuras Agrarias
25,2023,5,54,,,"Invest Cient, Téc y Aplic","Investigación Científica, Técnica y Aplicada"
26,2023,5,55,,,Inform Básica y Estadíst,Información Básica y Estadística
27,2023,6,61,,,Act Económicas Generales,Actuaciones Económicas Generales
28,2023,6,62,,,Comercio,Comercio
29,2023,6,63,,,Actividad Financiera,Actividad Financiera
30,2023,6,64,,,Otras act. carácter econ.,Otras actuaciones de carácter económico
31,2023,7,71,,,Agricultura y Ganadería,Agricultura y Ganadería
32,2023,7,72,,,Industria,Industria
33,2023,7,73,,,Energía y Minas,Energía y Minas
34,2023,7,75,,,Turismo,Turismo
35,2023,9,91,,,Transfer AA.PP. Territ,Transferencias a AA.PP. Territoriales
36,2023,1,11,111,,Amortiz. y gastos Deuda,Amortización y Gastos Financieros de la Deuda
37,2023,1,11,111,,Alta Dirección (Cortes),Alta Dirección de la C.A. (Cortes de Aragón)
38,2023,1,11,112,,Alta Dirección (P Gob.Ar),Alta Dirección de la C.A. (Presidencia Gob Aragón)
39,2023,1,12,121,,Servicios Generales,Servicios Generales
40,2023,1,12,122,,Función Pública,Función Pública
41,2023,1,12,123,,Formac y perfecc personal,Formación y Perfeccionamiento del personal (IAAP)
42,2023,1,12,125,,Gastos relat. Admón.Local,Gastos relativos a la Administración Local
43,2023,1,12,126,,Otros Servicios Generales,Otros Servicios Generales
44,2023,1,13,131,,Rel. Exteriores,Relaciones Exteriores
45,2023,1,13,134,,Cooperación Internacional,Cooperación Internacional
46,2023,1,14,142,,Administración Justicia,Administración de Justicia
47,2023,3,31,311,,Admón y Promoción Social,Admón y Promoción Social
48,2023,3,31,313,,Acción Social,Acción Social
49,2023,3,31,315,,Relaciones Laborales,Relaciones Laborales
50,2023,3,32,322,,Promoción del Empleo,Promoción del Empleo
51,2023,3,32,323,,Promoción Sociocultural,Promoción Sociocultural
52,2023,3,32,324,,Acción favor Inmigrantes,Acción en favor de los Inmigrantes
53,2023,4,41,411,,Admón General Sanidad,Administración General de Sanidad
54,2023,4,41,412,,"Hosp,Svcios, Asist y Cent","Hospitales, Svcios, Asistencias y Centros de Salud"
55,2023,4,41,413,,Acciones Públicas Salud,Acciones Públicas relativas a la Salud
56,2023,4,42,421,,Admón General Educación,Administración General de Educación
57,2023,4,42,422,,Enseñanza,Enseñanza
58,2023,4,42,423,,Becas y Ayudas,Becas y Ayudas
59,2023,4,43,431,,Vivienda,Vivienda
60,2023,4,43,432,,Urbanismo y Arquitectura,Urbanismo y Arquitectura
61,2023,4,44,442,,Protecc y Medio Ambiente,Protección y Medio Ambiente
62,2023,4,44,443,,Otros Srvcios Bstar Com.,Otros servicios de Bienestar Comunitario
