_id,EJERCICIO,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
128,2022,3,31,311,3111,Serv. Grales. Cuidadanía y Derechos Sociales,Serv. Grales. Ciudadanía y Derechos Sociales
129,2022,3,31,313,3131,Prest. Asistenciales y Serv. Sociales (No operativ,Prest. Asistenciales y Serv. Sociales (No operativ
130,2022,3,31,313,3132,Gestión y Dllo Serv Soc,Gestión y Desarrollo de los Servicios Sociales
131,2022,3,31,313,3133,Polít Integral de Apoyo a las Familias y de Iguald,Polít Integral de Apoyo a las Familias y de Iguald
132,2022,3,31,313,3134,Atención a la dependencia (No operativo),Atención a la dependencia (No operativo)
133,2022,3,31,313,3135,Acción Social a favor del personal,Acción Social en Favor del Personal
134,2022,3,31,313,3136,Fondo Inc. Soc.y Ay Fam U,Fondo de Inclusión Social y Ayuda Familiar Urgente
135,2022,3,31,315,3151,Relaciones Laborales,Relaciones Laborales
136,2022,3,32,322,3221,Fomento del Empleo. INAEM,Fomento del Empleo. Instituto Aragonés de Empleo
137,2022,3,32,322,3222,Fomento del Empleo EE.TT. (No operativo),Fomento del Empleo EE.TT. (No operativo)
138,2022,3,32,322,3225,Fomento del Empleo,Fomento del Empleo
139,2022,3,32,322,3229,Consejo Econom y Social,Consejo Económico y Social de Aragón
140,2022,3,32,323,3231,Promoción de la Juventud,Promoción de la Juventud
141,2022,3,32,323,3232,Promoción de la Mujer,Promoción de la Mujer
142,2022,3,32,324,3241,Apoyo a la Inmigración,Apoyo a la Inmigración
143,2022,4,41,411,4111,Serv. Gener. Sanidad,Serv. Gener. Sanidad
144,2022,4,41,412,4121,Asistencia Sanitaria,Asistencia Sanitaria
145,2022,4,41,412,4123,Asist. Sanit. Medio Rural (No operativo),Asistencia Sanitaria Medio Rural (CASAR) (No opera
146,2022,4,41,412,4124,Prod.comp.sanguín. y tej.,Producc. componentes sanguíneos y de tejidos
147,2022,4,41,413,4131,Protecc y Promoción Salud,Protección y Promoción de la Salud
148,2022,4,41,413,4132,Serv. Atención Usuario,Servicios de Atención al Usuario
149,2022,4,41,413,4134,Salud Pública,Salud Pública
150,2022,4,42,421,4211,"Serv. Gen. Educación, Cultura y Deporte","Servicios Generales Educación, Cultura y Deporte"
151,2022,4,42,421,4212,Gestión de Personal,Gestión de Personal
152,2022,4,42,422,4220,Formación Profesional,Formación Profesional
153,2022,4,42,422,4221,Educ Infantil y Primaria,Educación Infantil y Primaria
154,2022,4,42,422,4222,Educ Secundaria,Educ Secundaria
155,2022,4,42,422,4223,Educación Especial,Educación Especial
156,2022,4,42,422,4224,Enseñanzas Artísticas,Enseñanzas Artísticas
157,2022,4,42,422,4225,Educación Permanente,Educación Permanente
158,2022,4,42,422,4226,Plan Aragonés de F.P.,Plan Aragonés de Formación Profesional
159,2022,4,42,422,4227,Formación del Profesorado,Formación del Profesorado
160,2022,4,42,422,4228,Educación Universitaria,Educación Universitaria
161,2022,4,42,422,4229,Eval. Calidad Enseñanza S,Evaluación de la calidad de la Enseñanza Superior
162,2022,4,42,423,4231,Innovación y Participación,Innovación y Participación
163,2022,4,42,423,4232,Equidad,Equidad
164,2022,4,43,431,4311,Promoción y Admón.Viviendas,Promoción y Administración de Viviendas
165,2022,4,43,431,4312,Gestión Social de la Vivienda,Gestión social de la vivienda
166,2022,4,43,432,4321,Urbanismo,Urbanismo
167,2022,4,43,432,4323,Arquitectura y Rehabilitación,Arquitectura y Rehabilitación
168,2022,4,44,442,4422,Protecc y Mejor Medio Amb,Protección y Mejora del Medio Ambiente
169,2022,4,44,442,4423,Gestión Ambiental,Gestión Ambiental
170,2022,4,44,443,4431,Control del Consumo,Control del Consumo
171,2022,4,45,452,4521,"Archivos, Museos y Bibliotecas","Archivos, Museos y Bibliotecas"
172,2022,4,45,452,4522,Gestión de Bibliotecas (No operativo),Gestión de Bibliotecas (No operativo)
173,2022,4,45,455,4551,Fom y prom lenguas propias,Fomento y promoción de las lenguas propias
174,2022,4,45,455,4553,Prom y Acción Cultural (No operativo),Promoción y Acción Cultural (No operativo)
175,2022,4,45,457,4571,Fom y apoyo Activ. Depor,Fomento y apoyo a la Actividad Deportiva
176,2022,4,45,458,4581,Promoción de la Cultura,Promoción de la Cultura
177,2022,4,45,458,4582,Protección del Patrimonio Cultural,Protección del Patrimonio Cultural
178,2022,4,46,463,4631,Elecc. Institucionales,Elecciones Institucionales
179,2022,5,51,511,5111,"S G Vert. Territorrio, Movilidad y Vivienda","Serv.G. Verteb. Territorrio, Movilidad y Vivienda"
180,2022,5,51,512,5121,Gest e Infr Recur Hidrául,Gestión e Infraestructura de Recursos Hidráulicos
181,2022,5,51,513,5131,Carreteras,Carreteras
182,2022,5,51,513,5132,Transportes,Transportes
183,2022,5,53,531,5311,Mej Estr Agrar y Dllo Rur,Mejora de Estructuras Agrarias y Desarrollo Rural
184,2022,5,53,531,5312,Des. Sost. Medio Rural,Desarrollo Sostenible en el Medio Rural
185,2022,5,53,533,5331,Prot y mejora Medio Nat.,Protección y mejora del Medio Natural
186,2022,5,53,533,5332,Cons. Biodiv. y Des.Sost,Conservac. de la Biodivers y Desarrollo Sostenible
187,2022,5,54,541,5411,"Serv. G. Ciencia, Universidad y Sdad. del Conocimi","Serv. G. Ciencia, Universidad y Sdad. del Conocimi"
188,2022,5,54,542,5421,Investigación Agroalimentaria,Investigación Agroalimentaria
189,2022,5,54,542,5422,Inv Tecnolog Aplic Indust,Investigación y Tecnología Aplicada a la Industria
190,2022,5,54,542,5423,"Investigación, Desarrollo e Innovac Tec","Investigación, Desarrollo e Innovación Tecnológica"
191,2022,5,54,542,5424,Inves y Dllo Sdad. Información,Investigación y Dllo. Sociedad de la Información
192,2022,5,54,542,5425,Inves. y Des. Area de Salud,Investigación y Desarrollo en el Área de la Salud
193,2022,5,54,542,5426,Administración electrónica,Administración electrónica
194,2022,5,55,551,5511,Elaboración y Difusión Estadística,Elaboración y Difusión Estadística
195,2022,6,61,611,6111,Serv Generales Hacienda y Administración Pública,Serv. Gen. de Hacienda y Administración Pública
196,2022,6,61,611,6112,"Ser.v Generales Economía, Planificación y Empleo","Serv. Generales Economía, Planificación y Empleo"
197,2022,6,61,612,6120,Fondo Inversiones de Teruel,Fondo Inversiones de Teruel
198,2022,6,61,612,6121,Planific.y Direcc Presup,Planificación y Dirección Presupuestaria
199,2022,6,61,612,6122,Promoción y Dllo Económ.,Promoción y Desarrollo Económico
200,2022,6,61,612,6123,Plan Minería del Carbón,Plan Minería del Carbón y Dllo Alternat Com.Min
