_id,Ano,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
165,2019,4,44,442,4423,Gestión Ambiental,Gestión Ambiental
166,2019,4,44,443,4431,Control del Consumo,Control del Consumo
167,2019,4,45,452,4521,"Archivos, Museos y Bibliotecas","Archivos, Museos y Bibliotecas"
168,2019,4,45,452,4522,Gestión de Bibliotecas (No operativo),Gestión de Bibliotecas (No operativo)
169,2019,4,45,455,4551,Fom y prom lenguas propias,Fomento y promoción de las lenguas propias
170,2019,4,45,455,4553,Prom y Acción Cultural (No operativo),Promoción y Acción Cultural (No operativo)
171,2019,4,45,457,4571,Fom y apoyo Activ. Depor,Fomento y apoyo a la Actividad Deportiva
172,2019,4,45,458,4581,Promoc. de la Cultura y Prot. del Patrim. Cultural,Promoc. de la Cultura y Prot. del Patrim. Cultural
173,2019,4,46,463,4631,Elecc. Institucionales,Elecciones Institucionales
174,2019,5,51,511,5111,"S G Vert. Territorrio, Movilidad y Vivienda","Serv.G. Verteb. Territorrio, Movilidad y Vivienda"
175,2019,5,51,512,5121,Gest e Infr Recur Hidrául,Gestión e Infraestructura de Recursos Hidráulicos
176,2019,5,51,513,5131,Carreteras,Carreteras
177,2019,5,51,513,5132,Transportes,Transportes
178,2019,5,53,531,5311,Mej Estr Agrar y Dllo Rur,Mejora de Estructuras Agrarias y Desarrollo Rural
179,2019,5,53,531,5312,Des. Sost. Medio Rural,Desarrollo Sostenible en el Medio Rural
180,2019,5,53,533,5331,Prot y mejora Medio Nat.,Protección y mejora del Medio Natural
181,2019,5,53,533,5332,Cons. Biodiv. y Des.Sost,Conservac. de la Biodivers y Desarrollo Sostenible
182,2019,5,54,541,5411,"Serv. G.  Innovación, Investigación y Universidad","Serv. G.  Innovación, Investigación y Universidad"
183,2019,5,54,542,5421,Investigación Agroalimentaria,Investigación Agroalimentaria
184,2019,5,54,542,5422,Inv Tecnolog Aplic Indust,Investigación y Tecnología Aplicada a la Industria
185,2019,5,54,542,5423,"Investigación, Desarrollo e Innovac Tec","Investigación, Desarrollo e Innovación Tecnológica"
186,2019,5,54,542,5424,Inves y Dllo Sdad. Información,Investigación y Dllo. Sociedad de la Información
187,2019,5,54,542,5425,Inves. y Des. Area de Salud,Investigación y Desarrollo en el Área de la Salud
188,2019,5,54,542,5426,Administración electrónica,Administración electrónica
189,2019,5,55,551,5511,Elaboración y Difusión Estadística,Elaboración y Difusión Estadística
190,2019,6,61,611,6111,Serv Generales Hacienda y Administración Pública,Serv. Gen. de Hacienda y Administración Pública
191,2019,6,61,611,6112,"Serv G. Economía, Industria y Empleo","Serv G. Economía, Industria y Empleo"
192,2019,6,61,612,6120,Fondo Inversiones de Teruel,Fondo Inversiones de Teruel
193,2019,6,61,612,6121,Planific.y Direcc Presup,Planificación y Dirección Presupuestaria
194,2019,6,61,612,6122,Promoción y Dllo Económ.,Promoción y Desarrollo Económico
195,2019,6,61,612,6123,Plan Minería del Carbón,Plan Minería del Carbón y Dllo Alternat Com.Min
196,2019,6,61,612,6124,Corp. Empr. Públ. Aragón,Corporación Empresarial Pública de Aragón
197,2019,6,61,612,6126,Apoyo Dllo Econ y Social,Apoyo al Desarrollo Económico y Social
198,2019,6,61,612,6127,Gastos no clasificados,Gastos no clasificados
199,2019,6,61,612,6128,Fondo Gastos Personal,Fondo de Gastos de Personal
200,2019,6,61,612,6129,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
201,2019,6,61,615,6152,Act Programas Europeos,Actuaciones relativas a Programas Europeos
