_id,Ano,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2020,0,,,,Deuda Pública,Deuda Pública
2,2020,1,,,,Servcios Carácter General,Servicios de Carácter General
3,2020,3,,,,Seg Protecc y Prom Social,"Seguridad, Protección y Promoción Social"
4,2020,4,,,,Prod.Bienes Púb. c.social,Producción de Bienes Públicos de Carácter Social
5,2020,5,,,,Prod.Bien P carac.econom.,Producc. de Bienes Públicos de Carácter Económico
6,2020,6,,,,Reg Econom Caráct General,Regulación Económica de Carácter General
7,2020,7,,,,Reg Econ Sect Productivos,Regulación Económica de Sectores Productivos
8,2020,9,,,,Transfer a otras AA.PP.,Transferencias a otras Administraciones Públicas
9,2020,0,01,,,Deuda Pública,Deuda Pública
10,2020,1,11,,,Alta Dirección C.A. y Gob,Alta Dirección de la C.A. y del Gobierno
11,2020,1,12,,,Administración General,Administración General
12,2020,1,13,,,Rel. Ext. y Coop. Intern.,Relaciones Exteriores y Cooperación Internacional
13,2020,1,14,,,Justicia,Justicia
14,2020,3,31,,,Seg. y Protección Social,Seguridad y Protección Social
15,2020,3,32,,,Promoción Social,Promoción Social
16,2020,4,41,,,Sanidad,Sanidad
17,2020,4,42,,,Educación,Educación
18,2020,4,43,,,Vivienda y Urbanismo,Vivienda y Urbanismo
19,2020,4,44,,,Bienestar Comunitario,Bienestar Comunitario
20,2020,4,45,,,Cultura,Cultura
21,2020,4,46,,,Otros Srvcios Com. y Soc.,Otros Servicios Comunitarios y Sociales
22,2020,5,51,,,Infraestructuras Básicas,Infraestructuras Básicas y del Transporte
23,2020,5,53,,,Infraestructuras Agrarias,Infraestructuras Agrarias
24,2020,5,54,,,"Invest Cient, Téc y Aplic","Investigación Científica, Técnica y Aplicada"
25,2020,5,55,,,Inform Básica y Estadíst,Información Básica y Estadística
26,2020,6,61,,,Act Económicas Generales,Actuaciones Económicas Generales
27,2020,6,62,,,Comercio,Comercio
28,2020,6,63,,,Actividad Financiera,Actividad Financiera
29,2020,6,64,,,Otras act. carácter econ.,Otras actuaciones de carácter económico
30,2020,7,71,,,Agricultura y Ganadería,Agricultura y Ganadería
31,2020,7,72,,,Industria,Industria
32,2020,7,73,,,Energía y Minas,Energía y Minas
33,2020,7,75,,,Turismo,Turismo
34,2020,9,91,,,Transfer AA.PP. Territ,Transferencias a AA.PP. Territoriales
35,2020,0,01,011,,Deuda Pública,Deuda Pública
36,2020,1,11,111,,Alta Dirección (Cortes),Alta Dirección de la C.A. (Cortes de Aragón)
37,2020,1,11,112,,Alta Dirección (P Gob.Ar),Alta Dirección de la C.A. (Presidencia Gob Aragón)
38,2020,1,12,121,,Servicios Generales,Servicios Generales
39,2020,1,12,122,,Función Pública,Función Pública
40,2020,1,12,123,,Formac y perfecc personal,Formación y Perfeccionamiento del personal (IAAP)
41,2020,1,12,125,,Gastos relat. Admón.Local,Gastos relativos a la Administración Local
42,2020,1,12,126,,Otros Servicios Generales,Otros Servicios Generales
43,2020,1,13,131,,Rel. Exteriores,Relaciones Exteriores
44,2020,1,13,134,,Cooperación Internacional,Cooperación Internacional
45,2020,1,14,142,,Administración Justicia,Administración de Justicia
46,2020,3,31,311,,Admón y Promoción Social,Admón y Promoción Social
47,2020,3,31,313,,Acción Social,Acción Social
48,2020,3,31,315,,Relaciones Laborales,Relaciones Laborales
49,2020,3,32,322,,Promoción del Empleo,Promoción del Empleo
50,2020,3,32,323,,Promoción Sociocultural,Promoción Sociocultural
51,2020,3,32,324,,Acción favor Inmigrantes,Acción en favor de los Inmigrantes
52,2020,4,41,411,,Admón General Sanidad,Administración General de Sanidad
53,2020,4,41,412,,"Hosp,Svcios, Asist y Cent","Hospitales, Svcios, Asistencias y Centros de Salud"
54,2020,4,41,413,,Acciones Públicas Salud,Acciones Públicas relativas a la Salud
